Diord_H,Diord_C,Nealb_H,Nealb_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Pecri_H,Pecri_C,Peman_H,Peman_C,Petru_H,Petru_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Nocra_H,Nocra_C,Socin_H,Socin_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimog_H,Mimog_C,Mimon_H,Mimon_C,Phint_H,Phint_C,Amleu_H,Amleu_C,Calat_H,Calat_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taruf_H,Taruf_C,Xespi_H,Xespi_C
,,,1752,2103,,1905,1787,2103,1519,1554,,1840,1487,1631,1506,,,2133,1488,,,2804,3033,,,,2904,,,,2079,,,,,,3040,2134,,2325,1960,2115,2092,,3410,,,2316,2368,,3408,2134,2272,,,,3043,2111,2235,2548,,2134,1796,,
,,,1755,2103,,1950,1788,2103,1519,1610,,1840,1487,1631,1506,,,2285,1488,,,3016,3224,,,,3003,,,,2079,,,,,,3040,2149,,2325,2375,2115,2092,,3411,,,2316,2466,,3489,2202,2329,,,,3048,2111,2235,2548,,2195,1800,,
,,,1980,2111,,2031,1788,2103,1723,1610,,1840,1487,1631,1507,,,2315,1488,,,3016,3229,,,,3003,,,,2079,,,,,,3040,2149,,2325,2376,2115,2092,,3411,,,2339,2494,,3493,,2355,,,,3050,2111,2235,2548,,2195,1798,,
,,,,2111,,2072,1788,2103,1723,1631,,1840,1487,1631,1507,,,2325,1488,,,3016,3401,,,,3013,,,,2079,,,,,,3040,2233,,2346,2384,2115,2506,,3411,,,2377,2591,,3513,,2444,,,,3067,2111,2236,2548,,2225,1802,,
,,,,2123,,2072,1788,2103,1723,1631,,1840,1487,1736,1508,,,2325,1488,,,3016,3407,,,,3026,,,,2079,,,,,,3040,2308,,2407,,2115,1812,,3411,,,2407,2591,,3515,,2060,,,,3210,2111,2236,2548,,2264,1802,,
,,,,2133,,2073,1788,2103,1723,1631,,1859,1487,1840,1512,,,2346,1491,,,3109,3408,,,,3036,,,,2092,,,,,,3040,2315,,2407,,2115,2263,,3411,,,2554,2593,,3515,,2306,,,,3221,2111,2239,2548,,,1838,,
,,,,2133,,2083,1788,2103,1723,1631,,1859,1487,1840,1512,,,2346,1491,,,3386,3408,,,,3036,,,,2092,,,,,,3060,2315,,2407,,2115,2266,,3414,,,2554,2598,,3515,,2322,,,,3222,2111,2239,2548,,,1796,,
,,,,2133,,2102,1788,2103,1723,1631,,1859,1487,1840,1512,,,2407,1491,,,3407,3408,,,,3036,,,,2092,,,,,,3060,2315,,2407,,2115,2266,,3414,,,2710,2598,,3515,,2530,,,,3225,2118,2240,2548,,,1799,,
,,,,2133,,2102,1788,2103,1725,1631,,1859,1487,1859,1512,,,2407,1491,,,,3408,,,,3038,,,,2092,,,,,,3215,2315,,,,2115,2266,,3414,,,2804,2864,,3515,,,,,,3232,2133,2240,2697,,,1999,,
,,,,2133,,2102,1791,2103,1725,1706,,1889,1487,1859,1512,,,2498,1491,,,,3408,,,,3048,,,,2092,,,,,,3228,2315,,,,2115,2266,,3414,,,2804,2865,,3515,,,,,,3232,2133,2240,2840,,,2348,,
,,,,2133,,2103,1793,2103,1725,1706,,1889,1487,1859,1513,,,2498,1491,,,,3411,,,,3054,,,,2480,,,,,,3228,2315,,,,2115,2266,,3415,,,2804,2882,,3515,,,,,,3252,2134,2240,3386,,,2341,,
,,,,2133,,2103,1793,2103,1725,2058,,1889,1487,1859,1513,,,2597,1491,,,,3411,,,,3064,,,,2507,,,,,,3228,2315,,,,2115,2266,,3502,,,2840,2882,,3515,,,,,,3255,2149,2240,3386,,,2341,,
,,,,2133,,2103,1793,2103,1726,2058,,1889,1487,1859,1513,,,2597,1491,,,,3433,,,,3064,,,,2507,,,,,,3228,2315,,,,2115,2266,,3515,,,2840,2883,,3515,,,,,,3265,2178,2240,,,,2335,,
,,,,2133,,2103,1793,2103,1726,2307,,1889,1487,1859,1513,,,,1491,,,,,,,,3064,,,,2507,,,,,,3228,2315,,,,2115,2266,,3517,,,2840,2884,,3515,,,,,,3408,2281,2240,,,,2341,,
,,,,2134,,2103,1795,2103,1727,,,1895,1487,1889,1514,,,,1493,,,,,,,,3066,,,,2512,,,,,,3228,2315,,,,2115,2368,,3517,,,2840,2884,,3515,,,,,,3437,2315,2240,,,,2341,,
,,,,2468,,2115,1795,2103,1727,,,1895,1487,1889,1514,,,,1493,,,,,,,,3066,,,,2555,,,,,,3228,2315,,,,2115,2368,,3517,,,3006,2885,,3515,,,,,,3448,2316,2240,,,,2334,,
,,,,2513,,2117,1795,2115,1730,,,1895,1487,1889,1514,,,,1493,,,,,,,,3066,,,,2555,,,,,,3228,2315,,,,2149,2369,,3517,,,3109,2885,,3515,,,,,,3461,2346,2240,,,,2334,,
,,,,2513,,2117,1795,2115,1730,,,1895,1487,1889,1514,,,,1493,,,,,,,,3077,,,,2570,,,,,,3235,2315,,,,2149,2400,,3517,,,,2885,,3515,,,,,,3476,2346,2240,,,,2335,,
,,,,2804,,2133,1795,2123,1730,,,1895,1487,2041,1514,,,,1493,,,,,,,,3189,,,,2570,,,,,,3239,2315,,,,2149,2503,,3517,,,,3225,,3515,,,,,,3496,2377,2240,,,,2335,,
,,,,2804,,2133,1799,2133,1730,,,1895,1487,2070,1514,,,,1493,,,,,,,,3189,,,,2585,,,,,,3239,2315,,,,2149,2503,,3517,,,,3259,,3515,,,,,,,2385,2240,,,,2335,,
,,,,2894,,2133,1958,2133,1730,,,1905,1487,2070,1514,,,,1698,,,,,,,,3207,,,,2751,,,,,,3239,2315,,,,2149,2503,,3517,,,,3270,,3515,,,,,,,2407,2240,,,,2343,,
,,,,2894,,2133,1960,2134,1730,,,1905,1487,2070,1514,,,,1705,,,,,,,,3211,,,,2758,,,,,,3450,2315,,,,2285,2503,,3519,,,,3270,,3515,,,,,,,2446,2240,,,,2334,,
,,,,2894,,2133,1960,2139,1730,,,1905,1487,2070,1514,,,,1710,,,,,,,,3211,,,,2764,,,,,,3480,2315,,,,2285,2507,,3521,,,,3271,,3515,,,,,,,2446,2240,,,,2341,,
,,,,2894,,2133,1962,2385,1730,,,1905,1487,2102,1514,,,,1714,,,,,,,,3211,,,,2768,,,,,,3491,2315,,,,2285,2507,,3521,,,,3395,,3515,,,,,,,2498,2241,,,,2341,,
,,,,3077,,2133,1962,2444,1730,,,1950,1487,2102,1514,,,,1737,,,,,,,,3215,,,,2770,,,,,,3500,2315,,,,2285,2524,,3521,,,,3417,,3516,,,,,,,2498,2241,,,,2334,,
,,,,,,2133,1962,2444,1730,,,1950,1487,2133,1514,,,,1798,,,,,,,,3215,,,,2837,,,,,,3500,2315,,,,2308,2576,,3524,,,,3479,,3528,,,,,,,2529,2241,,,,2335,,
,,,,,,2134,1971,2444,1730,,,1950,1487,2133,1514,,,,1799,,,,,,,,3217,,,,2837,,,,,,3500,2315,,,,2308,2882,,3526,,,,3508,,3546,,,,,,,2529,2241,,,,2334,,
,,,,,,2194,1980,,1730,,,1950,1487,2133,1514,,,,1799,,,,,,,,3221,,,,2876,,,,,,3500,2315,,,,2308,2882,,,,,,3517,,,,,,,,,2548,2241,,,,2335,,
,,,,,,2285,1980,,1730,,,1950,1487,2133,1514,,,,1799,,,,,,,,3221,,,,2894,,,,,,3530,2315,,,,2308,2882,,,,,,3519,,,,,,,,,2548,2241,,,,2335,,
,,,,,,,1983,,1730,,,1950,1488,2133,1514,,,,1799,,,,,,,,3221,,,,3003,,,,,,3530,2513,,,,2308,2882,,,,,,3524,,,,,,,,,2548,2241,,,,2341,,
,,,,,,,1983,,1730,,,1950,1488,2133,1515,,,,1799,,,,,,,,3221,,,,3013,,,,,,2767,2513,,,,2308,2882,,,,,,2241,,,,,,,,,2548,2242,,,,2346,,
,,,,,,,1984,,1734,,,1950,1488,2133,1515,,,,1799,,,,,,,,3221,,,,3018,,,,,,2768,2697,,,,2308,2882,,,,,,2404,,,,,,,,,2548,2242,,,,2343,,
,,,,,,,1988,,1734,,,1950,1488,2133,1515,,,,1812,,,,,,,,3228,,,,3020,,,,,,2798,2804,,,,2308,2882,,,,,,2440,,,,,,,,,2548,2242,,,,2172,,
,,,,,,,1990,,1734,,,1950,1488,2133,1515,,,,1815,,,,,,,,3229,,,,3020,,,,,,3003,2827,,,,2308,2882,,,,,,2482,,,,,,,,,2597,2242,,,,,,
,,,,,,,1990,,1734,,,1950,1488,2133,1515,,,,2142,,,,,,,,3231,,,,3020,,,,,,3040,2827,,,,2308,2884,,,,,,2491,,,,,,,,,2597,2242,,,,,,
,,,,,,,1990,,1734,,,1950,1488,2133,1515,,,,2142,,,,,,,,3231,,,,3020,,,,,,3040,2827,,,,2308,2884,,,,,,2497,,,,,,,,,2597,2242,,,,,,
,,,,,,,1990,,1793,,,1950,1488,2133,1519,,,,2142,,,,,,,,3231,,,,3023,,,,,,3040,2827,,,,2468,2884,,,,,,2503,,,,,,,,,2597,2242,,,,,,
,,,,,,,1990,,1793,,,1950,1488,2133,1519,,,,2142,,,,,,,,3231,,,,3029,,,,,,3040,2840,,,,2652,2884,,,,,,2509,,,,,,,,,2673,2242,,,,,,
,,,,,,,1993,,1793,,,1950,1488,2133,1519,,,,2163,,,,,,,,3233,,,,3034,,,,,,3040,2840,,,,2804,2885,,,,,,2570,,,,,,,,,2710,2242,,,,,,
,,,,,,,2020,,1793,,,1950,1488,2158,1519,,,,2402,,,,,,,,3233,,,,3038,,,,,,3040,2840,,,,3407,3024,,,,,,2570,,,,,,,,,2804,2242,,,,,,
,,,,,,,2160,,1793,,,2041,1488,2254,1519,,,,2426,,,,,,,,3233,,,,3048,,,,,,3040,2840,,,,,3033,,,,,,2570,,,,,,,,,2804,2242,,,,,,
,,,,,,,2234,,1796,,,2050,1488,2254,1712,,,,2426,,,,,,,,3233,,,,3064,,,,,,3040,2840,,,,,3033,,,,,,2570,,,,,,,,,2804,2242,,,,,,
,,,,,,,2234,,1796,,,2050,1488,2254,1712,,,,2079,,,,,,,,3243,,,,3207,,,,,,3040,,,,,,3049,,,,,,2570,,,,,,,,,2804,2242,,,,,,
,,,,,,,2241,,1796,,,2057,1488,2254,1713,,,,,,,,,,,,3243,,,,3215,,,,,,3040,,,,,,3229,,,,,,2570,,,,,,,,,2809,2243,,,,,,
,,,,,,,2244,,1796,,,2057,1488,2254,1713,,,,,,,,,,,,3246,,,,3217,,,,,,3060,,,,,,3233,,,,,,2570,,,,,,,,,2809,2243,,,,,,
,,,,,,,2483,,1796,,,2057,1488,2270,1715,,,,,,,,,,,,3246,,,,3228,,,,,,3060,,,,,,3233,,,,,,2570,,,,,,,,,2819,2243,,,,,,
