Elevation,Diord_H,Diord_C,Nealb_H,Nealb_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Pecri_H,Pecri_C,Peman_H,Peman_C,Petru_H,Petru_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Nocra_H,Nocra_C,Socin_H,Socin_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimog_H,Mimog_C,Mimon_H,Mimon_C,Phint_H,Phint_C,Amleu_H,Amleu_C,Calat_H,Calat_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taruf_H,Taruf_C,Xespi_H,Xespi_C
2850,0,0,0,0,4,0,0,0,0,0,0,0,2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,11,0,0,0,0,1,0,0,3,17,7,0,0,0,0,0,0
2900,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0
2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,4,5,0,0,0,9,0,0,0,12,0,0,0,0,0,26,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0
3050,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,11,0,0,0,0,0,0
3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0
3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
3200,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,0,0,7,0,0,0,0,0,25,0,0,0,0,0,5,0,2,0,0,0,2,0,0,0,0,0,0,0,6,0,69,0,0,0,0,0,0
3250,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,3,0,113,0,0,0,0,0,0
3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
3350,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,45,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,49,2,0,0,0,0,0
3400,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,1,10,0,0,0,6,0,0,0,6,0,0,0,1,0,0,0,7,0,0,1,12,0,21,0,0,0,1,0,2,0,0,0,0,0,3,2,35,0,0,0,0,0,0
3450,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,6,0,0,0,0,0,0
3500,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,25,0,1,0,0,0,12,0,0,0,0,0,4,0,16,0,0,0,4,0,24,0,0,0,0,0,0,0,123,0,0,0,0,0,0
3550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3650,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
