Elev,ShermanFR_H,ShermanFR_C,ShermanSJ_H,ShermanSJ_C,ShrewFR_H,ShrewFR_C,ShrewSJ_H,ShrewSJ_C,LargeFR_H,LargeFR_C,LargeSJ_H,LargeSJ_C
1400,0,0,34,0,0,0,0,0,0,0,2,0
1425,0,0,5,0,0,0,0,0,0,0,1,0
1450,0,0,4,0,0,0,0,0,0,0,0,0
1475,14,0,14,191,3,0,0,1,0,0,4,1
1500,181,7,11,130,1,0,0,0,4,0,2,0
1525,94,12,0,0,0,0,0,0,1,1,0,0
1550,64,2,6,0,0,0,0,0,2,0,0,0
1575,193,11,1,0,2,0,0,0,1,0,0,1
1600,56,5,12,0,1,0,0,0,1,1,3,0
1625,378,11,28,0,38,0,0,0,26,0,6,0
1650,100,10,0,1,2,0,0,0,1,0,0,0
1675,28,48,0,1,0,0,0,0,0,0,0,0
1700,40,312,6,102,0,1,0,2,3,2,0,0
1725,37,267,4,137,0,1,0,0,4,0,1,0
1750,33,5,1,23,1,0,0,0,5,0,0,1
1775,20,36,1,130,0,0,0,0,2,0,0,1
1800,21,38,0,90,0,0,0,0,6,0,0,2
1825,9,34,28,10,1,0,0,0,4,0,8,0
1850,3,1,20,0,3,0,0,0,1,1,1,2
1875,12,35,22,0,2,0,0,0,2,2,1,0
1900,7,41,7,0,0,1,0,0,0,2,1,0
1925,3,159,0,1,0,2,0,0,2,5,0,0
1950,2,41,17,42,0,0,0,1,1,3,0,0
1975,13,2,7,59,0,1,0,0,2,0,0,0
2000,48,2,0,29,4,0,0,0,3,0,1,4
2025,1,0,5,0,1,0,0,0,0,0,0,0
2050,40,1,71,3,0,0,0,0,0,0,1,1
2075,11,44,6,78,0,0,1,27,2,0,0,2
2100,15,81,146,0,0,1,1,0,5,0,6,0
2125,54,153,215,15,0,1,0,0,7,0,13,1
2150,8,84,1,55,0,2,0,0,1,1,0,2
2175,30,148,17,0,2,3,3,0,5,15,0,0
2200,14,182,0,1,0,0,0,0,5,2,1,1
2225,2,117,22,206,1,1,0,0,2,2,0,0
2250,8,0,14,74,0,0,0,0,2,1,0,3
2275,15,1,30,1,0,0,2,0,11,0,0,0
2300,177,2,144,0,2,0,5,0,23,0,1,2
2325,36,4,45,253,4,0,0,0,7,1,1,4
2350,4,1,6,200,2,0,0,0,0,7,0,3
2375,11,13,9,9,0,1,1,0,1,1,0,1
2400,23,70,19,34,0,5,0,1,5,3,0,0
2425,12,93,13,11,0,3,0,1,5,5,1,5
2450,7,10,7,11,0,4,1,0,2,5,1,0
2475,21,3,12,108,1,0,0,1,6,0,0,2
2500,153,1,6,110,26,0,0,4,14,1,2,1
2525,131,0,17,62,3,0,0,1,16,0,0,2
2550,85,1,2,190,7,0,0,4,5,0,0,10
2575,102,8,36,84,7,0,0,1,5,0,0,2
2600,0,13,0,18,0,3,0,0,3,0,0,1
2625,33,43,0,0,22,1,0,0,6,0,0,0
2650,36,13,7,0,1,0,5,0,2,6,0,0
2675,8,25,4,0,0,1,0,0,2,1,1,0
2700,12,105,2,0,0,8,0,0,1,16,1,1
2725,110,63,0,2,7,0,0,0,13,6,0,0
2750,16,65,0,55,0,0,0,10,5,0,1,1
2775,25,12,0,8,0,12,0,1,4,0,0,1
2800,108,117,43,0,43,16,1,0,15,12,2,1
2825,9,33,68,2,0,2,2,2,3,10,2,0
2850,31,35,16,2,0,2,0,0,11,6,1,2
2875,132,15,7,137,20,0,0,11,3,5,4,1
2900,4,25,0,51,0,1,0,1,0,4,0,1
2925,8,10,0,2,8,0,0,0,0,1,0,0
2950,13,50,0,0,2,10,0,0,0,1,0,0
2975,10,4,1,1,1,1,0,0,0,1,0,1
3000,0,21,8,20,0,9,0,11,1,0,0,1
3025,26,63,0,56,1,32,0,10,10,4,0,4
3050,0,14,0,27,0,0,0,8,0,2,0,3
3075,2,43,1,9,0,11,0,1,1,4,1,0
3100,39,77,11,1,15,20,0,0,0,2,0,1
3125,18,37,0,0,6,4,0,0,5,3,0,0
3150,0,0,0,0,0,0,0,0,0,0,0,0
3175,1,49,0,14,0,0,0,2,0,0,0,0
3200,6,13,0,53,0,0,0,15,0,0,0,3
3225,4,0,0,135,0,0,0,24,1,0,0,3
3250,67,13,0,226,16,0,0,2,2,2,0,4
3275,4,2,0,41,2,1,0,1,0,0,0,0
3300,16,18,0,0,3,8,0,0,1,1,1,0
3325,0,17,0,4,0,1,0,0,1,0,0,0
3350,85,110,1,14,5,1,0,8,8,5,0,0
3375,6,84,5,116,0,0,0,72,4,1,1,1
3400,19,3,4,167,0,0,0,12,2,0,0,3
3425,0,29,0,6,0,10,0,1,0,0,0,2
3450,2,11,0,8,0,8,0,0,0,0,0,1
3475,2,92,0,16,2,6,0,0,1,0,0,4
3500,1,10,0,207,1,0,0,41,0,0,0,22
3525,2,1,0,36,0,0,0,1,0,0,0,2
3550,0,0,0,1,0,0,0,0,1,0,0,0
3575,3,0,0,0,0,0,0,0,0,1,0,0
3600,2,22,0,0,0,0,0,0,0,4,0,0
3625,0,41,0,0,0,0,0,0,0,11,0,0
3650,2,93,0,0,1,1,0,0,0,8,1,0
3675,0,4,10,0,0,0,3,0,1,2,0,0
3700,0,8,0,0,0,0,0,0,0,1,0,0
3725,0,5,0,0,0,0,0,0,0,5,0,0
3750,0,0,0,0,0,0,0,0,0,0,0,0
3775,0,0,0,0,0,0,0,0,0,0,0,0
