Elevation,Diord_H,Diord_C,Nealb_H,Nealb_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Pecri_H,Pecri_C,Peman_H,Peman_C,Petru_H,Petru_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Nocra_H,Nocra_C,Socin_H,Socin_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimog_H,Mimog_C,Mimon_H,Mimon_C,Phint_H,Phint_C,Amleu_H,Amleu_C,Calat_H,Calat_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taruf_H,Taruf_C,Xespi_H,Xespi_C
1400,4,0,3,0,7,0,0,0,1,16,15,0,13,130,3,6,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
1500,0,0,0,1,2,0,0,0,1,6,3,0,1,58,9,52,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,6,0,0
1600,2,0,0,0,4,0,6,0,0,0,8,0,2,0,9,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0
1700,0,2,5,7,0,1,2,37,0,48,2,0,1,71,1,194,0,1,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0
1800,0,0,5,2,4,0,9,0,5,6,0,0,20,60,13,20,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,7,0,0,8,0,0
1900,0,0,3,5,0,0,2,19,3,9,0,0,20,9,0,44,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2000,0,0,1,5,0,0,5,1,4,0,2,0,29,29,5,23,0,0,3,1,0,0,2,3,0,0,0,0,1,0,0,27,0,0,0,0,0,0,5,1,0,0,7,20,0,0,0,0,6,0,0,0,2,7,0,0,0,0,7,0,0,0,2,0,3,0
2100,0,0,0,0,15,0,21,1,26,3,0,0,180,32,17,27,0,0,8,5,0,0,8,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,15,0,5,0,29,0,0,0,1,0,7,0,0,0,3,3,0,0,1,0,22,1,9,0,12,1,0,0
2200,0,0,0,0,0,0,1,4,0,2,0,0,38,170,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,0,4,9,0,0,0,0,1,5,0,0,1,3,0,1,0,0,1,92,0,0,2,0,0,0
2300,0,0,0,0,0,0,0,0,1,0,1,0,126,178,10,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,9,3,11,3,0,0,0,0,4,14,1,1,0,4,0,4,1,1,6,241,0,0,0,23,0,0
2400,0,0,0,0,1,0,0,2,3,5,0,0,27,61,0,18,0,0,4,3,0,0,3,7,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,3,4,0,1,1,0,0,0,0,1,7,1,4,0,1,0,0,0,2,5,47,1,7,0,0,0,0
2500,0,0,0,0,2,7,0,0,0,1,0,0,32,188,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,5,2,2,0,0,0,9,0,0,0,0,3,18,0,0,0,1,0,0,0,7,12,190,8,6,0,0,0,0
2600,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,8,1,0,0,0,0,0
2700,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,1,25,0,0,0,0,0,0
2800,0,0,0,0,6,0,0,0,0,0,0,0,33,95,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,2,4,0,0,1,0,10,0,10,0,0,0,1,13,0,2,0,0,7,11,1,1,0,0,1,0,1,3,60,7,1,0,0,0,0,0
2900,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,22,0,0,0,0,0,0
3000,0,0,0,0,1,0,0,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,4,5,0,0,0,17,0,0,0,13,0,0,0,0,0,30,0,1,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,7,0,14,0,0,0,0,0,0
3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,13,0,0,0,0,0,0
3200,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,2,0,0,0,34,0,0,0,8,0,0,0,0,0,25,0,0,0,0,0,5,0,4,0,0,0,6,0,1,0,0,0,0,0,9,0,182,0,0,0,0,0,0
3300,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,45,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,53,2,0,0,0,0,0
3400,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,1,10,0,0,0,6,0,0,0,6,0,0,0,1,0,5,0,7,0,0,1,12,0,21,0,0,0,2,0,4,0,0,0,0,0,6,2,41,0,0,0,0,0,0
3500,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,25,0,1,0,0,0,12,0,0,0,0,0,4,0,16,0,0,0,4,0,24,0,0,0,0,0,0,0,124,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
